chunk_info,implementation,n_features,n_neighbors,n_samples_test,n_samples_train,throughput,time_elapsed,trial
"(512, 196)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16411756342290743,0.49233,1.0
"(1024, 98)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16780196045854792,0.48152,1.0
"(2048, 49)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.1581089542892924,0.51104,1.0
"(4096, 25)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.1254190984726189,0.64424,1.0
"(128, 782)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1432293974793044,0.56413,1.0
"(256, 391)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16536706166472237,0.48861,1.0
"(512, 196)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1637516973025556,0.49343,1.0
"(1024, 98)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16400097426321344,0.49268,1.0
"(2048, 49)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.14930613300811205,0.54117,1.0
"(4096, 25)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.11707599797145547,0.69015,1.0
"(128, 782)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12642976732541583,0.63909,1.0
"(256, 391)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.142783933273251,0.56589,1.0
"(512, 196)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15614733505971476,0.51746,1.0
"(1024, 98)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.1576523842971982,0.51252,1.0
"(2048, 49)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.13601777658070163,0.59404,1.0
"(4096, 25)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.1284844244438437,0.62887,1.0
"(128, 8)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.14943315270662647,0.54071,1.0
"(256, 4)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16475337968721326,0.49043,1.0
"(512, 2)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16286382326856405,0.49612,1.0
"(1024, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.0857030727945778,0.94279,1.0
"(2048, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08473332074917679,0.95358,1.0
"(4096, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.07090891539197361,1.13949,1.0
"(128, 8)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.1459880390987768,0.55347,1.0
"(256, 4)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.16371188329449904,0.49355,1.0
"(512, 2)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.16259508190123556,0.49694,1.0
"(1024, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08424652535215672,0.95909,1.0
"(2048, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08301910055791302,0.97327,1.0
"(4096, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.06634915421251437,1.2178,1.0
"(128, 8)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.1373215499660095,0.5884,1.0
"(256, 4)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.15894560834071017,0.50835,1.0
"(512, 2)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.16300510399644938,0.49569,1.0
"(1024, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08761751916633231,0.92219,1.0
"(2048, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08645224797243799,0.93462,1.0
"(4096, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.07409649050409456,1.09047,1.0
"(0, nan)",sklearn,100.0,1.0,1000.0,100000.0,0.05243416527145063,1.54098,2.0
"(0, nan)",sklearn,100.0,10.0,1000.0,100000.0,0.03317566679805545,2.43552,2.0
"(0, nan)",sklearn,100.0,100.0,1000.0,100000.0,0.03291684829325327,2.45467,2.0
"(0, nan)",daal4py,100.0,1.0,1000.0,100000.0,0.1829130257617603,0.44174,2.0
"(0, nan)",daal4py,100.0,10.0,1000.0,100000.0,0.17796180869105566,0.45403,2.0
"(0, nan)",daal4py,100.0,100.0,1000.0,100000.0,0.16161292903432273,0.49996,2.0
"(128, 782)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.14335900074518293,0.56362,2.0
"(256, 391)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.1608376296355276,0.50237,2.0
"(512, 196)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16565184410685363,0.48777,2.0
"(1024, 98)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16698700064066793,0.48387,2.0
"(2048, 49)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.15721373674481953,0.51395,2.0
"(4096, 25)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.12562970333975995,0.64316,2.0
"(128, 782)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1428015976812414,0.56582,2.0
"(256, 391)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1627752372126755,0.49639,2.0
"(512, 196)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1613225252565587,0.50086,2.0
"(1024, 98)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16483404394214488,0.49019,2.0
"(2048, 49)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.15527413186770953,0.52037,2.0
"(4096, 25)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.12470098001388995,0.64795,2.0
"(128, 782)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12607467740173822,0.64089,2.0
"(256, 391)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.14460332516062066,0.55877,2.0
"(512, 196)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15605987445678415,0.51775,2.0
"(1024, 98)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15686579044438834,0.51509,2.0
"(2048, 49)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.1478391334577524,0.54654,2.0
"(4096, 25)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.1277248225605033,0.63261,2.0
"(128, 8)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.14743718409576118,0.54803,2.0
"(256, 4)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16474330220609223,0.49046,2.0
"(512, 2)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16081842246681127,0.50243,2.0
"(1024, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08462771138598825,0.95477,2.0
"(2048, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08533829027692698,0.94682,2.0
"(4096, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.07018519161947118,1.15124,2.0
"(128, 8)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.148088413181335,0.54562,2.0
"(256, 4)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.16256236922581685,0.49704,2.0
"(512, 2)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.1627031272024325,0.49661,2.0
"(1024, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08512610885185108,0.94918,2.0
"(2048, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.0833814909601255,0.96904,2.0
"(4096, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.07093568380945693,1.13906,2.0
"(128, 8)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.13774762180776706,0.58658,2.0
"(256, 4)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.15825759949858978,0.51056,2.0
"(512, 2)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.16431447512913328,0.49174,2.0
"(1024, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08771834594465494,0.92113,2.0
"(2048, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08522397662669157,0.94809,2.0
"(4096, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.0754921471349422,1.07031,2.0
"(0, nan)",sklearn,100.0,1.0,1000.0,100000.0,0.05196442237814407,1.55491,3.0
"(0, nan)",sklearn,100.0,10.0,1000.0,100000.0,0.03200722539345516,2.52443,3.0
"(0, nan)",sklearn,100.0,100.0,1000.0,100000.0,0.032085519026951045,2.51827,3.0
"(0, nan)",daal4py,100.0,1.0,1000.0,100000.0,0.17992740552697795,0.44907,3.0
"(0, nan)",daal4py,100.0,10.0,1000.0,100000.0,0.17922100967083665,0.45084,3.0
"(0, nan)",daal4py,100.0,100.0,1000.0,100000.0,0.159955655857782,0.50514,3.0
"(128, 782)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.14704544213725454,0.54949,3.0
"(256, 391)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16640237246946887,0.48557,3.0
"(512, 196)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.1645721734525531,0.49097,3.0
"(1024, 98)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16648122965343884,0.48534,3.0
"(2048, 49)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.15825759949858978,0.51056,3.0
"(4096, 25)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.12503288302926205,0.64623,3.0
"(128, 782)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.14281926646045073,0.56575,3.0
"(256, 391)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16141276119701148,0.50058,3.0
"(512, 196)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1623533194020254,0.49768,3.0
"(1024, 98)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16493498540488682,0.48989,3.0
"(2048, 49)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1539340826824157,0.5249,3.0
"(4096, 25)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.12693624909667892,0.63654,3.0
"(128, 782)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12643174563434936,0.63908,3.0
"(256, 391)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.14694115079653744,0.54988,3.0
"(512, 196)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15175418826534445,0.53244,3.0
"(1024, 98)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15876446662605861,0.50893,3.0
"(2048, 49)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15017470820013384,0.53804,3.0
"(4096, 25)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12930275728528223,0.62489,3.0
"(128, 8)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.14936685460763469,0.54095,3.0
"(256, 4)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16501245762365724,0.48966,3.0
"(512, 2)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.1617552850736707,0.49952,3.0
"(1024, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08590718196799745,0.94055,3.0
"(2048, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08515750977519682,0.94883,3.0
"(4096, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.07187972600302464,1.1241,3.0
"(128, 8)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.14904449199439238,0.54212,3.0
"(256, 4)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.15768007337587572,0.51243,3.0
"(512, 2)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.1597279879808643,0.50586,3.0
"(1024, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08624738482558388,0.93684,3.0
"(2048, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08531576335434551,0.94707,3.0
"(4096, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.07079397900713197,1.14134,3.0
"(128, 8)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.13813618723607954,0.58493,3.0
"(256, 4)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.1586896321464344,0.50917,3.0
"(512, 2)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.16467615049117515,0.49066,3.0
"(1024, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08636169303120991,0.9356,3.0
"(2048, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08507054116656138,0.9498,3.0
"(4096, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.07625015334962772,1.05967,3.0
"(0, nan)",sklearn,100.0,1.0,1000.0,100000.0,0.053286905138756994,1.51632,4.0
"(0, nan)",sklearn,100.0,10.0,1000.0,100000.0,0.031629094069153416,2.55461,4.0
"(0, nan)",sklearn,100.0,100.0,1000.0,100000.0,0.032072528371088684,2.51929,4.0
"(0, nan)",daal4py,100.0,1.0,1000.0,100000.0,0.18001559541049347,0.44885,4.0
"(0, nan)",daal4py,100.0,10.0,1000.0,100000.0,0.18201887770043476,0.44391,4.0
"(0, nan)",daal4py,100.0,100.0,1000.0,100000.0,0.15895498898331759,0.50832,4.0
"(128, 782)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.14305189171963245,0.56483,4.0
"(256, 391)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16561789001168342,0.48787,4.0
"(512, 196)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.15938769874146844,0.50694,4.0
"(1024, 98)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.1692501047339757,0.4774,4.0
"(2048, 49)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.15620167027528614,0.51728,4.0
"(4096, 25)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.12707199698046742,0.63586,4.0
"(128, 782)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.14408759384417855,0.56077,4.0
"(256, 391)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1635461997773505,0.49405,4.0
"(512, 196)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16440474494882698,0.49147,4.0
"(1024, 98)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1658967251822195,0.48705,4.0
"(2048, 49)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.15844069258976018,0.50997,4.0
"(4096, 25)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.12651290964034634,0.63867,4.0
"(128, 782)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12469905549725292,0.64796,4.0
"(256, 391)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.14537341897410985,0.55581,4.0
"(512, 196)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15302450664747544,0.52802,4.0
"(1024, 98)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15794823676597072,0.51156,4.0
"(2048, 49)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.14886325951582594,0.54278,4.0
"(4096, 25)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.1286030336309666,0.62829,4.0
"(128, 8)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.14681032759779783,0.55037,4.0
"(256, 4)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16579460346773364,0.48735,4.0
"(512, 2)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.16436795638553234,0.49158,4.0
"(1024, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.0863238640612814,0.93601,4.0
"(2048, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08471555285285916,0.95378,4.0
"(4096, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.07040167291103948,1.1477,4.0
"(128, 8)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.1485376031766458,0.54397,4.0
"(256, 4)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.16367540412429607,0.49366,4.0
"(512, 2)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.16237615803540928,0.49761,4.0
"(1024, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08564493391136598,0.94343,4.0
"(2048, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08465874562561555,0.95442,4.0
"(4096, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.06927475843857439,1.16637,4.0
"(128, 8)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.14035575319622012,0.57568,4.0
"(256, 4)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.1599208312716477,0.50525,4.0
"(512, 2)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.16582182362960987,0.48727,4.0
"(1024, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08516469038208169,0.94875,4.0
"(2048, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08480268681780016,0.9528,4.0
"(4096, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.07564834753300252,1.0681,4.0
"(0, nan)",sklearn,500.0,1.0,1000.0,100000.0,0.13893856439320987,2.90776,0.0
"(0, nan)",sklearn,500.0,10.0,1000.0,100000.0,0.10397471664316084,3.88556,0.0
"(0, nan)",sklearn,500.0,100.0,1000.0,100000.0,0.10389263056654914,3.88863,0.0
"(0, nan)",daal4py,500.0,1.0,1000.0,100000.0,0.2151958068777432,1.87736,0.0
"(0, nan)",daal4py,500.0,10.0,1000.0,100000.0,0.21600235250086883,1.87035,0.0
"(0, nan)",daal4py,500.0,100.0,1000.0,100000.0,0.20418168126430913,1.97863,0.0
"(128, 782)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.17591451599559343,2.29657,0.0
"(256, 391)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.20473630065829815,1.97327,0.0
"(512, 196)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.21790840295794475,1.85399,0.0
"(1024, 98)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.22692804583497164,1.7803,0.0
"(2048, 49)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.2245791919596202,1.79892,0.0
"(4096, 25)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.19917077908312422,2.02841,0.0
"(128, 782)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.17359917497421795,2.3272,0.0
"(256, 391)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.20173169684319853,2.00266,0.0
"(512, 196)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.21651285679067925,1.86594,0.0
"(1024, 98)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.2214936567286922,1.82398,0.0
"(2048, 49)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.21871413413023236,1.84716,0.0
"(4096, 25)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.20687606894503444,1.95286,0.0
"(128, 782)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.1659819227608874,2.434,0.0
"(256, 391)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.20331135826078203,1.9871,0.0
"(512, 196)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.21776275717835525,1.85523,0.0
"(1024, 98)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.21994414289836292,1.83683,0.0
"(2048, 49)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.21453985449524718,1.8831,0.0
"(4096, 25)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.1997024236162945,2.02301,0.0
"(128, 8)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.17521261877810884,2.30577,0.0
"(256, 4)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.20351619565764947,1.9851,0.0
"(512, 2)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.21301051343969798,1.89662,0.0
"(1024, 1)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.11741182488200692,3.44088,0.0
"(2048, 1)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.11696482080352516,3.45403,0.0
"(4096, 1)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.11029030373512855,3.66306,0.0
"(128, 8)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.1730637422892392,2.3344,0.0
"(256, 4)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.2015958004201576,2.00401,0.0
"(512, 2)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.21316111603562535,1.89528,0.0
"(1024, 1)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.11580842305619575,3.48852,0.0
"(2048, 1)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.11710280698906654,3.44996,0.0
"(4096, 1)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.11117776884931009,3.63382,0.0
"(128, 8)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.17230202326930294,2.34472,0.0
"(256, 4)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.2017609133177185,2.00237,0.0
"(512, 2)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.21678588101460083,1.86359,0.0
"(1024, 1)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.1152441807393884,3.5056,0.0
"(2048, 1)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.11412429378531073,3.54,0.0
"(4096, 1)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.10808092157712537,3.73794,0.0
"(0, nan)",sklearn,500.0,1.0,1000.0,100000.0,0.1397923875432526,2.89,1.0
"(0, nan)",sklearn,500.0,10.0,1000.0,100000.0,0.11435979743596277,3.53271,1.0
"(0, nan)",sklearn,500.0,100.0,1000.0,100000.0,0.11343757984854398,3.56143,1.0
"(0, nan)",daal4py,500.0,1.0,1000.0,100000.0,0.20694706970120735,1.95219,1.0
"(0, nan)",daal4py,500.0,10.0,1000.0,100000.0,0.2111744750693896,1.91311,1.0
"(0, nan)",daal4py,500.0,100.0,1000.0,100000.0,0.2033246601609486,1.98697,1.0
"(128, 782)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.17617303331589046,2.2932,1.0
"(256, 391)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.20960988694555852,1.92739,1.0
"(512, 196)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.22564159848082882,1.79045,1.0
"(1024, 98)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.21020536648056903,1.92193,1.0
"(2048, 49)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.2097480946150811,1.92612,1.0
"(4096, 25)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.1864345771534578,2.16698,1.0
"(128, 782)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.17413267703129648,2.32007,1.0
"(256, 391)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.20480480176010463,1.97261,1.0
"(512, 196)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.22293345105396753,1.8122,1.0
"(1024, 98)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.2144897374093462,1.88354,1.0
"(2048, 49)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.21133022963854162,1.9117,1.0
"(4096, 25)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.18746925782591345,2.15502,1.0
"(128, 782)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.1668532063486819,2.42129,1.0
"(256, 391)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.19694443631967395,2.05134,1.0
"(512, 196)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.20444102584863266,1.97612,1.0
"(1024, 98)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.21109723535774189,1.91381,1.0
"(2048, 49)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.20439551544096812,1.97656,1.0
"(4096, 25)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.1812854213315504,2.22853,1.0
"(128, 8)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.17075448970189816,2.36597,1.0
"(256, 4)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.20323362812270485,1.98786,1.0
"(512, 2)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.22019348685106963,1.83475,1.0
"(1024, 1)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.11188935140180185,3.61071,1.0
"(2048, 1)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.10984499348814952,3.67791,1.0
"(4096, 1)",Parallel on X_test,500.0,1.0,1000.0,100000.0,0.10176450585019962,3.96995,1.0
"(128, 8)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.17417546885104548,2.3195,1.0
"(256, 4)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.2050574059223015,1.97018,1.0
"(512, 2)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.22061433447098977,1.83125,1.0
"(1024, 1)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.11034754012389515,3.66116,1.0
"(2048, 1)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.10869068085026244,3.71697,1.0
"(4096, 1)",Parallel on X_test,500.0,10.0,1000.0,100000.0,0.10179424963275961,3.96879,1.0
"(128, 8)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.17129967266498197,2.35844,1.0
"(256, 4)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.19516813928435128,2.07001,1.0
"(512, 2)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.20549547808217786,1.96598,1.0
"(1024, 1)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.11036442113314757,3.6606,1.0
"(2048, 1)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.10690319439446222,3.77912,1.0
"(4096, 1)",Parallel on X_test,500.0,100.0,1000.0,100000.0,0.10035197710782622,4.02583,1.0
"(0, nan)",sklearn,500.0,1.0,1000.0,100000.0,0.13575861848803877,2.97587,2.0
"(0, nan)",sklearn,500.0,10.0,1000.0,100000.0,0.10132195049770647,3.98729,2.0
"(0, nan)",sklearn,500.0,100.0,1000.0,100000.0,0.10140613155688533,3.98398,2.0
"(0, nan)",daal4py,500.0,1.0,1000.0,100000.0,0.20901560891317056,1.93287,2.0
"(0, nan)",daal4py,500.0,10.0,1000.0,100000.0,0.20735387710690015,1.94836,2.0
"(0, nan)",daal4py,500.0,100.0,1000.0,100000.0,0.20189198778653422,2.00107,2.0
"(128, 782)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.17219553570286894,2.34617,2.0
"(256, 391)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.20704994823751294,1.95122,2.0
"(512, 196)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.21663243802649992,1.86491,2.0
"(1024, 98)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.22287933621678876,1.81264,2.0
"(2048, 49)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.2173807768672417,1.85849,2.0
"(4096, 25)",Parallel on X_train,500.0,1.0,1000.0,100000.0,0.19823064429866097,2.03803,2.0
"(128, 782)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.17222196171045395,2.34581,2.0
"(256, 391)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.20562098555563474,1.96478,2.0
"(512, 196)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.22414309650358963,1.80242,2.0
"(1024, 98)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.2189250994375142,1.84538,2.0
"(2048, 49)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.2192137605469492,1.84295,2.0
"(4096, 25)",Parallel on X_train,500.0,10.0,1000.0,100000.0,0.19830654067983802,2.03725,2.0
"(128, 782)",Parallel on X_train,500.0,100.0,1000.0,100000.0,0.16655810156746015,2.42558,2.0
