chunk_info,implementation,n_features,n_neighbors,n_samples_test,n_samples_train,throughput,time_elapsed,trial
"(2048, 49)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.13286414312493833,0.30407,1.0
"(4096, 25)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.10225000632735187,0.39511,1.0
"(128, 782)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1107274022912898,0.36486,1.0
"(256, 391)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13873626373626372,0.2912,1.0
"(512, 196)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1372562342868791,0.29434,1.0
"(1024, 98)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1392239299744986,0.29018,1.0
"(2048, 49)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13180216625342553,0.30652,1.0
"(4096, 25)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.10337504158030757,0.39081,1.0
"(128, 782)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09207977207977208,0.43875,1.0
"(256, 391)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10727562400424855,0.3766,1.0
"(512, 196)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.1031691309788299,0.39159,1.0
"(1024, 98)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10444404229466664,0.38681,1.0
"(2048, 49)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.0964131446435816,0.41903,1.0
"(4096, 25)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.07582867224745674,0.53278,1.0
"(128, 8)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.1275816332975431,0.31666,1.0
"(256, 4)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.143736435763333,0.28107,1.0
"(512, 2)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.13799699412488042,0.29276,1.0
"(1024, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07034038478279794,0.57435,1.0
"(2048, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07292155517851343,0.55402,1.0
"(4096, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.0605515587529976,0.6672,1.0
"(128, 8)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.12752122723398884,0.31681,1.0
"(256, 4)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.1406097730753167,0.28732,1.0
"(512, 2)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.1346576894873675,0.30002,1.0
"(1024, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07178393745557925,0.5628,1.0
"(2048, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07228484523170514,0.5589,1.0
"(4096, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.061864510596594396,0.65304,1.0
"(128, 8)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.1143633584328823,0.35326,1.0
"(256, 4)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.10885966803190343,0.37112,1.0
"(512, 2)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11056679164728099,0.36539,1.0
"(1024, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05832503212207834,0.69267,1.0
"(2048, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05804931317891832,0.69596,1.0
"(4096, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.04445471451050298,0.90879,1.0
"(0, nan)",sklearn,50.0,1.0,1000.0,100000.0,0.03015983217994371,1.33953,2.0
"(0, nan)",sklearn,50.0,10.0,1000.0,100000.0,0.017166944283917466,2.35336,2.0
"(0, nan)",sklearn,50.0,100.0,1000.0,100000.0,0.01698970945073615,2.37791,2.0
"(0, nan)",daal4py,50.0,1.0,1000.0,100000.0,0.1556660116364197,0.25953,2.0
"(0, nan)",daal4py,50.0,10.0,1000.0,100000.0,0.14855125753787324,0.27196,2.0
"(0, nan)",daal4py,50.0,100.0,1000.0,100000.0,0.1265783124980418,0.31917,2.0
"(128, 782)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.12483391527361494,0.32363,2.0
"(256, 391)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.14441981840280263,0.27974,2.0
"(512, 196)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.13904185022026433,0.29056,2.0
"(1024, 98)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.14179418784220132,0.28492,2.0
"(2048, 49)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.13237221494102225,0.3052,2.0
"(4096, 25)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.10508792009156175,0.38444,2.0
"(128, 782)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.12149645134127271,0.33252,2.0
"(256, 391)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1406097730753167,0.28732,2.0
"(512, 196)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13690738418787488,0.29509,2.0
"(1024, 98)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13928632994311327,0.29005,2.0
"(2048, 49)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.12908173046201035,0.31298,2.0
"(4096, 25)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.10135474159558454,0.3986,2.0
"(128, 782)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09776637707814051,0.41323,2.0
"(256, 391)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10821815064823744,0.37332,2.0
"(512, 196)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10243927176834525,0.39438,2.0
"(1024, 98)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10495687415566872,0.38492,2.0
"(2048, 49)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09912164483046274,0.40758,2.0
"(4096, 25)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.07529025885685534,0.53659,2.0
"(128, 8)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.12310692628820429,0.32817,2.0
